"","y","baseline","noise"
"1",-0.0544246671728416,-0.141367066586088,-0.0183384486360908
"2",-0.0332517707423126,-0.138099303285223,-0.00514159544046475
"3",-0.0183570856015813,-0.135180875339475,0.00220273323450121
"4",-0.058528469932234,-0.131955706687616,-0.0457225637523727
"5",-0.0121243780559185,-0.128830246361003,-0.00684235262398637
"6",0.0293849558128673,-0.126031900636803,0.0276277195974995
"7",-0.0374785346286862,-0.122778700049317,-0.0465454348254849
"8",-0.02735089376921,-0.11955560160674,-0.0434864696790234
"9",0.0416643877777831,-0.116424019216378,0.0187881731654408
"10",-0.000365215401652397,-0.113821132915922,-0.0291922984544453
"11",0.0168758283356649,-0.110693728403992,-0.0181423726682632
"12",0.0527280504056803,-0.107961056775521,0.0122193019638889
"13",0.0529714333439188,-0.105088363769326,0.00715764456551548
"14",0.0672390169935698,-0.102302471943087,0.0165500963870829
"15",0.0134349770534595,-0.0998173308943659,-0.0414699619014904
"16",0.0707073295496553,-0.0968794283422211,0.0115047198650831
"17",0.089440490487882,-0.093915793821641,0.0262956683687535
"18",0.095856808471953,-0.0912381790485249,0.0294442752979976
"19",0.134329780899768,-0.0884033994878567,0.0648852645993214
"20",0.0459201189788845,-0.0862668267730144,-0.0254638050498535
"21",0.118630387409966,-0.0837575756573917,0.0453272679382305
"22",0.0208154033845334,-0.0810405905806695,-0.0542261680034777
"23",0.0986042047169995,-0.0787992566209609,0.0226810163620254
"24",0.0692665553529161,-0.0760265835072443,-0.00769848898318735
"25",0.0699152642544404,-0.0736829455584222,-0.00730425009385123
"26",0.0753929026976427,-0.0714205616922895,-0.00165673553993998
"27",0.0943249534937875,-0.068845570726722,0.0174580934697194
"28",0.0352140491403096,-0.0668285583412245,-0.0406062404630157
"29",0.0574384449863244,-0.0646545644928998,-0.0172080165831553
"30",0.0569301457843992,-0.0622257013382066,-0.0165363192100951
"31",0.0460646792931728,-0.0605288713801956,-0.0252532792808926
"32",0.0791441095879065,-0.0580709887383977,0.00942443705727792
"33",0.0721867990095561,-0.0561426699395441,0.00477936377706602
"34",0.0535127607580963,-0.0539005123166959,-0.0117388500226819
"35",0.0649346187052668,-0.0522557194070688,0.00256642629468341
"36",-0.0104496241725452,-0.0500660909169439,-0.0703761623645361
"37",0.0194774507019132,-0.0479685606530501,-0.0378391187278749
"38",0.0548918312608407,-0.0466315041690202,0.000995617770594339
"39",0.110307481881084,-0.0445143200065506,0.0590758916056947
"40",0.0786897591377604,-0.0432672058881592,0.0309927354721725
"41",0.0886879542239403,-0.0409901053703595,0.0434720495811001
"42",0.0640001069417706,-0.0398180349364397,0.0223249090843249
"43",0.0531494017346218,-0.0380462655411511,0.0143492828575414
"44",0.0851701850411761,-0.0362121470698115,0.0490979906246548
"45",0.0297872771610515,-0.0347820160609566,-0.00325498831863506
"46",0.0460710872268063,-0.0335900503562638,0.0161795176551945
"47",0.071550958502691,-0.0318447570481437,0.0441257435015453
"48",0.0560235484393321,-0.030106660483601,0.0309290689256667
"49",0.0204599912960426,-0.0291623532188847,-0.00166277771101862
"50",0.0249016316874339,-0.0274829018009099,0.00485438888681576
"51",-0.0147739804466026,-0.0267287699393362,-0.0319879214343094
"52",0.0741356912106824,-0.0251545001579737,0.0587625205298328
"53",0.00584795739938888,-0.0240709906016221,-0.00736935482712728
"54",0.0214314316692231,-0.0227144644520514,0.00991948607062729
"55",0.063074441077,-0.0217347321085746,0.0534667466390609
"56",-0.0182587678833242,-0.0207511507321106,-0.0261431486533755
"57",0.0264097452866404,-0.0197763672829898,0.0200823433327965
"58",0.0258761381562828,-0.0190623927386642,0.0211943582062427
"59",-0.0179674470149201,-0.0175545861609699,-0.0219657491551617
"60",0.0345354328842437,-0.0168041701073545,0.0318143026266165
"61",0.0284756516030548,-0.0159993679477908,0.0268188665021456
"62",-0.0618253856903595,-0.015248544489293,-0.0625165097489427
"63",0.00285824206293376,-0.014478473585306,0.0029670556599436
"64",0.0129042788048951,-0.0139458556195394,0.013910496488529
"65",0.00748066076327173,-0.0129555291700742,0.00879328035107473
"66",0.0238859480906249,-0.0123362001106652,0.0257494783108892
"67",-0.0447518026928591,-0.0119683186241836,-0.0422055682646466
"68",-0.0114990158507219,-0.0112035983470611,-0.00877977946453256
"69",-0.0319743607052033,-0.0104062014850307,-0.0292209807871939
"70",-0.00954097321134735,-0.0101101906288862,-0.0063517287992438
"71",-0.0446543807978535,-0.00949579611712002,-0.0414410158514835
"72",-0.0204227474605322,-0.0092245306323696,-0.0169294395315038
"73",0.0263294625733062,-0.00897607543674841,0.0300439887189359
"74",-0.0125560287058937,-0.00874894811775608,-0.00867502625605755
"75",-0.0197831161090121,-0.00809424557974706,-0.0162341410140244
"76",-0.0218211123833594,-0.00794831894858707,-0.0181615118359063
"77",-0.0373251774427932,-0.00771002631871431,-0.0337089786319021
"78",-0.00848326456025216,-0.00715011254680852,-0.005289635052731
"79",0.0117146856005923,-0.00669417321074127,0.0145359404355493
"80",7.83278853793562e-06,-0.00676932276990544,0.00293744119813874
"81",0.0640107256993874,-0.0065439497979813,0.0667008775355107
"82",-0.0352572326363393,-0.00680545176953066,-0.0323642221692092
"83",-0.00693248862495105,-0.00679449858563081,-0.00415125206642311
"84",0.00877855475763126,-0.00672829287247604,0.0113526216965783
"85",0.00492347523965229,-0.00649778799924344,0.00708761055784336
"86",0.0158198475178857,-0.00701180139056469,0.0182814236347467
"87",-0.0285064043578336,-0.00651323725726143,-0.0267961709445235
"88",0.0272889070404566,-0.00709764628665038,0.0292951092686807
"89",0.0177046523461676,-0.00669725463681503,0.0189864867660158
"90",0.0456985459948625,-0.00713670575971437,0.0470599989319758
"91",-0.0307969636739079,-0.00725827754031087,-0.0297104261967701
"92",0.0141742447617959,-0.00751937856011898,0.0150874310532272
"93",-0.00520210291045997,-0.0076331306242217,-0.00464944028481942
"94",0.0484260971794954,-0.00804817120396191,0.0488772584034443
